,0,1,2
0,argument,break,
1,harry,try,
2,vernon,snarl,
3,,exchange,look
4,harry,try,
5,,want,bacon
6,petunia,say,
7,,like,sound
8,vernon,say,
9,bottom,droop,
10,,pass,pan
11,harry,say,
12,dursley,jump,
13,harry,say,
14,,thunder,uncle
15,harry,star,
16,harry,say,
17,vernon,sit,
18,vernon,treat,
19,,miss,hogwarts
20,,miss,class
21,harry,come,
22,vernon,padlock,owl
23,harry,look,
24,,wear,glass
25,harry,survive,curse
26,witch,fear,
27,parent,die,
28,,spend,year
29,hogwarts,write,
30,harry,take,place
31,dursleys,remember,
32,,give,present
33,vernon,clear,throat
34,harry,look,
35,vernon,say,
36,harry,go,
37,builder,come,
38,vernon,say,
39,petunia,say,
40,dudley,put,foul
41,,take,coat
42,vernon,say,
43,harry,say,
44,vernon,say,
45,petunia,say,
46,vernon,say,
47,harry,say,
48,vernon,tell,
49,harry,fight,
50,vernon,say,
51,ma,know,
52,,take,mason
53,harry,feel,
54,harry,leave,
55,,cross,lawn
56,harry,miss,friend
57,neither,write,
58,harry,enjoy,mutter
59,hermione,make,
60,harry,come,
61,harry,keep,
62,harry,sit,bolt
63,eye,appear,
64,harry,jump,
65,dudley,sing,
66,eye,blink,
67,dudley,repeat,
68,harry,say,
69,,learn,day
70,,get,card
71,,get,friend
72,harry,say,
73,dudley,hitch,trouser
74,harry,say,
75,dudley,stumble,
76,,get,friend
77,harry,say,
78,harry,pay,
79,petunia,know,
80,,give,work
81,harry,clean,window
82,sun,blaze,
83,harry,know,
84,harry,move,
85,fridge,stand,pudding
86,loin,sizzle,
87,,wear,dress
88,harry,wash,hand
89,petunia,whisk,plate
90,harry,catch,glimpse
91,,reach,landing
92,harry,cross,
93,arry,manage,
94,harry,know,
95,harry,hear,voice
96,,take,coat
97,creature,slip,
98,harry,notice,
99,harry,say,
100,dobby,want,
101,harry,say,
102,creature,say,
103,harry,say,
104,laugh,sound,
105,elf,hang,head
106,harry,say,
107,dobby,say,
108,dobby,wonder,
109,point,say,
110,elf,burst,
111,harry,think,
112,,choke,elf
113,,usher,dobby
114,harry,say,
115,dobby,shake,head
116,harry,hiss,
117,elf,say,
118,dobby,speak,
119,dobby,serve,
120,,ask,harry
121,dobby,shudder,
122,dobby,doubt,
123,dobby,have,
124,family,set,
125,dobby,serve,family
126,harry,star,
127,this,make,
128,harry,wish,
129,dobby,dissolve,
130,potter,ask,
131,dobby,hear,
132,harry,say,
133,aglow,say,
134,potter,speak,
135,harry,say,
136,dobby,clap,hand
137,name,speak,
138,harry,say,
139,friend,stop,
140,dobby,lean,
141,harry,nod,
142,,brave,danger
143,dobby,come,
144,potter,notgo,
145,harry,stammer,
146,potter,stay,
147,harry,say,
148,dobby,know,
149,potter,put,
150,harry,say,
151,dobby,make,noise
152,thought,strike,
153,dobby,shake,head
154,dobby,shake,head
155,harry,say,
156,dobby,bow,head
157,dobby,know,
158,dobby,hear,
159,voice,drop,
160,dobby,bound,
161,silence,fell,
162,dudley,leave,television
163,vernon,say,
164,,ruin,line
165,harry,let,dobby
166,slyly,say,
167,harry,say,
168,dobby,shuffle,foot
169,,stop,letter
170,elf,say,
171,,pull,wad
172,harry,make,neat
173,dobby,blink,
174,dobby,hop,
175,potter,think,
176,potter,want,
177,harry,listen,
178,,make,grab
179,harry,say,
180,,give,letter
181,elf,say,
182,dobby,dart,
183,,jump,step
184,,tell,petunia
185,harry,run,hall
186,masterpiece,float,
187,potter,say,
188,dobby,give,look
189,pudding,fell,
190,cream,splatter,window
191,dobby,vanish,
192,,shoo,masons
