,0,1,2
0,dursley,pretend,
1,dursleys,shudder,
2,dursleys,know,
3,story,start,
4,dursley,hum,
5,none,notice,flutter
6,dursley,pick,briefcase
7,dursley,chortle,
8,,jerk,head
9,dursley,blink,
10,,watch,cat
11,,read,sign
12,cat,read,map
13,dursley,give,shake
14,dursley,bear,people
15,,drum,finger
16,,strike,dursley
17,traffic,move,
18,dursley,sit,
19,most,see,owl
20,,make,call
21,bunch,whisper,
22,son,stop,
23,fear,flood,
24,,put,receiver
25,,see,boy
26,face,split,
27,muggles,celebrate,
28,man,hug,dursley
29,dursley,stand,
30,dursley,say,
31,cat,move,
32,,give,look
33,dursley,wonder,
34,dursley,have,day
35,dursley,try,
36,newscaster,allow,
37,ted,know,
38,,have,downpour
39,people,celebrate,night
40,,promise,night
41,dursley,sit,
42,dursley,come,
43,,clear,throat
44,dursley,look,
45,dursley,mumble,
46,,snap,dursley
47,dursley,sip,tea
48,dursley,wonder,
49,dursley,say,
50,,say,word
51,dursley,creep,
52,,star,drive
53,,imagine,thing
54,dursleys,get,
55,dursley,fell,
56,potters,know,
57,dursley,drift,
58,eye,fix,
59,man,appear,
60,tail,twitch,
61,,wear,robe
62,dumbledore,seem,
63,sight,seem,
64,lamp,go,
65,,click,outer
66,dumbledore,slip,outer
67,,wear,cloak
68,mcgonagall,say,
69,,pass,feast
70,mcgonagall,sniff,
71,,jerk,head
72,,shoot,star
73,dumbledore,say,
74,,have,little
75,mcgonagall,say,
76,muggles,find,
77,dumbledore,say,
78,mcgonagall,say,
79,person,call,
80,nonsense,try,
81,mcgonagall,flinch,
82,,see,reason
83,mcgonagall,say,
84,dumbledore,say,
85,mcgonagall,shoot,look
86,reason,fix,dumbledore
87,dumbledore,choose,drop
88,dumbledore,bow,head
89,mcgonagall,gasp,
90,dumbledore,reach,
91,voice,tremble,
92,,kill,boy
93,one,know,
94,dumbledore,nod,
95,,falter,mcgonagall
96,people,kill,boy
97,harry,survive,
98,dumbledore,say,
99,mcgonagall,pull,handkerchief
100,dumbledore,give,sniff
101,planet,move,
102,,make,sense
103,mcgonagall,say,
104,,mean,people
105,,cry,mcgonagall
106,,find,people
107,,get,son
108,potter,come,
109,dumbledore,say,
110,,write,letter
111,mcgonagall,sit,
112,people,understand,
113,child,know,name
114,dumbledore,say,
115,mcgonagall,open,mouth
116,boy,get,
117,,eye,cloak
118,hagrid,bring,
119,dumbledore,say,
120,mcgonagall,say,
121,sound,break,silence
122,,hold,bundle
123,dumbledore,say,
124,giant,say,
125,black,lend,
126,dumbledore,bend,
127,,see,cut
128,mcgonagall,whisper,
129,dumbledore,say,
130,scars,come,
131,dumbledore,take,harry
132,,say,bye
133,,ask,hagrid
134,,bend,head
135,hagrid,let,howl
136,,wake,muggles
137,hagrid,sob,
138,can't,stand,
139,mcgonagall,whisper,
140,,lay,harry
141,mcgonagall,blink,
142,dumbledore,say,
143,hagrid,say,
144,,sirius,bike
145,dumbledore,say,
146,mcgonagall,blow,nose
147,dumbledore,turn,
148,,make,cat
149,,see,bundle
150,,turn,heel
151,breeze,ruffle,hedge
152,potter,roll,
153,hand,close,
154,year,pass,
155,photograph,show,
156,room,hold,sign
157,harry,wake,
158,aunt,rap,
159,harry,hear,
160,harry,say,
161,harry,groan,
162,aunt,snap,
163,harry,get,
164,,find,pair
165,dudley,want,
166,harry,look,
167,,wear,glass
168,,ask,question
169,,ask,question
170,vernon,enter,kitchen
171,,comb,hair
172,vernon,look,
173,harry,have,haircut
174,harry,fry,egg
175,dudley,look,
176,harry,say,
177,harry,put,plate
178,dudley,count,present
179,face,fell,
180,dudley,say,
181,harry,begin,
182,petunia,scent,danger
183,dudley,think,
184,petunia,say,
185,dudley,sit,
186,vernon,chuckle,
187,tyke,want,
188,,ruffle,hair
189,rang,go,
190,,rip,paper
191,,jerk,head
192,mouth,fell,
193,parent,take,
194,harry,hat,
195,house,smell,
196,petunia,say,
197,harry,know,
198,vernon,suggest,
199,,hat,boy
200,dursleys,speak,
201,petunia,snap,
202,petunia,look,
203,harry,say,
204,petunia,say,
205,dudley,begin,
206,mummy,let,
207,dudley,yell,
208,sp-,spoil,
209,petunia,say,
210,dudley,stop,
211,harry,sit,
212,harry,say,
213,vernon,believe,
214,,take,pair
215,dudley,laugh,
216,,give,week
217,petunia,try,
218,petunia,decide,
219,gang,chase,
220,dursleys,receive,letter
221,harry,suppose,
222,vernon,complain,
223,harry,say,
224,vernon,crash,
225,dudley,snigger,
226,harry,say,
227,dursleys,buy,dudley
228,,buy,pop
229,harry,think,
230,harry,felt,
231,sort,crawl,
232,dudley,want,
233,dudley,find,snake
234,,wrap,body
235,dudley,stand,
236,vernon,tap,
237,dudley,order,
238,vernon,rap,glass
239,dudley,moan,
240,harry,move,
241,snake,open,eye
242,,raise,head
243,harry,star,
244,snake,jerk,head
245,,get,that
246,harry,murmur,
247,snake,nod,
248,harry,ask,
249,snake,jab,tail
250,harry,peer,
251,shout,make,
252,dudley,come,
253,harry,fell,
254,piers,lean,
255,front,vanish,
256,snake,uncoil,
257,people,scream,
258,harry,swear,
259,voice,say,
260,director,make,
261,piers,could,
262,snake,do,
263,vernon,wait,
264,harry,lay,
265,,remember,parent
266,aunt,speak,
267,hat,bow,
268,petunia,rush,
269,woman,dress,
270,man,shake,hand
271,escape,earn,punishment
272,holiday,start,
273,polkiss,go,
274,harry,go,
275,dudley,think,
276,,tell,harry
277,harry,say,
278,petunia,take,dudley
279,dudley,parade,
280,boy,wear,tailcoat
281,,carry,stick
282,vernon,say,gruffly
283,harry,trust,
284,,ask,petunia
285,lip,tighten,
286,harry,look,
287,petunia,snap,
288,harry,doubt,this
289,dudley,come,
290,vernon,open,newspaper
291,,hear,click
292,vernon,say,
293,harry,dodge,stick
294,thing,lay,
295,harry,pick,
296,one,write,
297,,get,note
298,wa,address,
299,cupboard,drive,surrey
300,harry,saw,
301,vernon,shout,
302,harry,go,
303,,hand,bill
304,vernon,rip,bill
305,,inform,petunia
306,,ate,whelk
307,dudley,say,
308,dad,get,
309,harry,say,
310,face,go,
311,dudley,try,
