,0,1,2
333,cloak,walk,path
334,harry,jump,
335,vernon,shout,
336,harry,freeze,
337,harry,run,
338,,stand,man
339,dursley,star,
340,dumbledore,say,
341,dumbledore,say,
342,dursley,say,
343,harry,doubt,
344,word,seem,
345,dumbledore,finish,sentence
346,door,open,
347,face,register,
348,dumbledore,say,
349,harry,think,
350,dumbledore,wait,moment
351,dudley,scramble,
352,harry,ask,
353,dumbledore,say,
354,dursley,enter,room
355,dumbledore,say,
356,,draw,wand
357,flick,zoom,
358,dumbledore,say,
359,dumbledore,say,
360,harry,take,armchair
361,dumbledore,say,
362,twitch,appear,
363,bottle,tip,
364,dumbledore,say,
365,look,try,
366,harry,suppress,suspicion
367,difficulty,arise,
368,,mean,order
369,head,turn,
370,dumbledore,go,
371,,add,amount
372,vernon,say,
373,both,turn,
374,dumbledore,say,
375,,ask,harry
376,vernon,say,
377,harry,say,
378,harry,want,
379,dumbledore,say,
380,,vacate,building
381,dumbledore,say,
382,dumbledore,say,
383,harry,spring,
384,lestrange,inherit,house
385,dumbledore,say,
386,dumbledore,say,
387,,place,glass
388,three,cower,
389,dumbledore,say,
390,glass,vanish,
391,dumbledore,say,
392,,flick,wand
393,filthy,enter,house
394,dudley,draw,foot
395,dumbledore,finish,
396,,croak,elf
397,kreacher,go,
398,dumbledore,say,
399,harry,say,
400,harry,star,
401,dumbledore,say,
402,voice,rise,
403,harry,think,
404,,grab,throat
405,petunia,whimper,
406,dumbledore,say,
407,harry,ask,
408,dumbledore,say,
409,elf,keep,eye
410,harry,say,
411,kreacher,give,look
412,dumbledore,say,
413,hagrid,look,
414,harry,say,
415,dumbledore,say,
416,trunk,pack,
417,dumbledore,suggest,
418,harry,say,
419,,make,way
420,dumbledore,hum,
421,dumbledore,say,
422,petunia,say,
423,dumbledore,say,
424,dumbledore,say,
425,vernoii,mutter,preposterous
426,harry,felt,kind
427,,treat,harry
428,petunia,look,
429,,begin,vernon
430,magic,mean,
431,,ask,this
432,none,say,
433,dudley,frown,
434,dumbledore,say,
435,harry,say,
436,harry,extract,cloak
437,,wave,wand
438,dumbledore,wave,wand
439,harry,felt,
