,0,1,2
0,men,appear,
1,wand,stow,wand
2,,ask,taller
3,snape,reply,
4,cloak,flap,
5,snape,nod,
6,hedge,curve,
7,neither,break,step
8,both,raise,arm
9,hedge,muffle,sound
10,yaxley,draw,wand
11,yaxley,thrust,wand
12,house,grow,
13,gravel,crackle,
14,eye,follow,snape
15,snape,turn,handle
16,illumination,come,
17,snape,linger,
18,none,seat,
19,face,shine,
20,voldemort,say,
21,men,take,place
22,most,follow,snape
23,lord,intend,
24,interest,sharpen,
25,voldemort,repeat,
26,eye,fasten,
27,snape,look,
28,snape,say,
29,yaxley,lean,
30,face,turn,
31,dawlish,let,
32,snape,smile,
33,yaxley,say,
34,snape,say,
35,order,believe,
36,orders,get,thing
37,man,say,
38,voldemort,laugh,
39,gaze,wander,
40,dawlish,believe,
41,voldemort,hold,hand
42,snape,say,
43,,give,protection
44,voldemort,call,table
45,ministry,fall,
46,head,turn,
47,yaxley,square,shoulder
48,neighbor,clap,
49,voldemort,say,
50,attempt,set,
51,voldemort,say,
52,yaxley,say,
53,snape,say,
54,voldemort,say,
55,voldemort,look,
56,company,watch,voldemort
57,voldemort,seem,
58,,understand,thing
59,wail,sound,cry
60,voldemort,say,
61,,gasp,man
62,voldemort,say,
63,lets,see,
64,,see,reason
65,malfoy,look,
66,skin,appear,yellowish
67,,require,wand
68,malfoy,glance,sideways
69,malfoy,put,hand
70,voldemort,say,
71,,draw,wand
72,,give,wand
73,some,snigger,
74,lie,lucius,
75,voice,seem,
76,snake,emerge,
77,voldemort,stroke,creature
78,malfoys,look,
79,malfoy,say,
80,hand,shake,
81,wife,make,nod
82,son,glance,
83,head,tilt,side
84,that,mean,deal
85,eye,well,
86,lord,know,
87,pleasure,compare,
88,im,talk,
89,,marry,werewolf
90,few,thump,table
91,narcissa,set,eye
92,,ask,voldemort
93,,babysit,cub
94,malfoy,look,
95,,shake,head
96,voldemort,say,
97,laughter,die,
98,,cut,part
99,voldemort,say,
100,,cut,canker
101,voldemort,raise,wand
102,figure,come,
103,,recognize,guest
104,,ask,voldemort
105,snape,raise,eye
106,all,look,
107,woman,say,
108,snape,say,
109,,ask,voldemort
110,draco,shake,head
111,voldemort,say,
112,woman,cackle,
113,burbage,teach,child
114,one,spat,
115,burbage,revolve,
116,burbage,write,defense
117,wizards,accept,thief
118,burbage,say,
119,burbage,revolve,
120,tears,pour,
121,snape,look,
122,flash,illuminate,corner
123,charity,fell,
124,several,leap,
125,draco,fell,
126,voldemort,say,
127,harry,bleed,
128,harry,scrap,fragment
129,this,seem,
130,,use,wad
131,harry,spend,morning
132,,skim,quarter
133,harry,plunge,hand
134,,discover,edge
135,harry,lay,
136,harry,sit,
137,,place,fragment
138,,take,hour
139,hagrid,give,stack
140,,accord,place
141,this,leave,stack
142,hedwig,make,movement
143,,meet,dumbledore
144,,contract,pox
145,visage,encourage,many
146,albus,arrive,
147,dumbledore,refuse,
148,,reveal,tendency
149,support,gain,enemy
150,fame,begin,
151,several,find,way
152,career,seem,
153,tragedy,intervene,
154,mother,die,
155,,postpone,departure
156,letter,tell,little
157,,count,one
158,,leave,mark
159,loss,lead,
160,this,lift,relationship
161,quill,describe,triumph
162,contribution,benefit,generation
163,those,write,
164,,miss,friendship
165,harry,finish,reading
166,dumbledore,wear,smile
167,,felt,impertinent
168,,discuss,harry
169,harry,tear,obituary
170,,throw,rest
171,harry,move,
172,skeeter,reveal,childhood
173,dumbledore,meet,end
174,harry,rip,paper
175,teeth,bar,
176,harry,read,
177,skeeter,say,
178,,mention,remark
179,skeeter,throw,head
180,gaga,seem,
181,skeeter,feel,
182,people,queue,
183,publicity,suggest,
184,,give,highlight
185,skeeter,laugh,
186,skeeter,deny,brilliance
187,skeeter,say,
188,skeeter,say,
189,skeeter,say,
190,which,lead,
191,skeeter,believe,
192,potter,give,evidence
193,,read,book
194,,take,leave
195,legion,tremble,
196,harry,reach,bottom
197,,ball,newspaper
198,harry,bellow,
199,harry,sit,
200,sound,echo,stair
201,harry,get,
202,,take,time
203,,want,word
204,harry,stroll,
205,,search,room
206,,ask,harry
207,vernon,say,
208,harry,raise,eyebrow
209,harry,sit,
210,uncle,begin,
211,face,crumple,
212,vernon,stop,
213,harry,say,
214,petunia,begin,
215,vernon,say,
216,were,go,
217,harry,look,
218,dursley,change,mind
219,harry,say,
220,vernon,repeat,
221,price,skyrocket,
222,harry,demand,
223,harry,say,
224,godfather,leave,one
225,,want,one
226,harry,think,
227,vernon,say,
228,harry,say,
229,dumbledore,tell,
230,arrival,come,
231,weasley,explain,
232,eye,meet,
233,vernon,walk,
234,vernon,say,
235,mower,stall,
236,,ask,dursley
237,surprised,say,
238,vernon,stride,
239,harry,manage,
240,vernon,say,
241,dursleys,spot,kingsley
242,harry,say,
243,vernon,begin,
244,people,disappear,
245,,kill,muggles
246,hand,jerk,
247,dursley,bluster,
248,,make,point
249,harry,say,
250,dudley,star,
251,vernon,blurt,
252,,shout,harry
253,dad,say,
254,harry,say,
255,parent,accompany,
256,harry,glance,
257,harry,fiddle,
258,harry,tell,
259,harry,hesitate,
260,,squeak,voice
261,harry,say,
262,harry,expect,change
263,shrink,near,
264,dedalus,say,
265,,ask,vernon
266,dedalus,say,
267,d'you,mean,
268,harry,say,
269,hestia,say,
270,dursleys,jump,
271,harry,look,
272,nodding,say,
273,charm,break,moment
274,none,answer,
275,vernon,star,
276,harry,mutter,
277,,swing,arm
278,,ask,petunia
279,dudley,answer,
280,vernon,say,
281,,ask,petunia
282,dudley,raise,hand
283,vernon,freeze,
284,vernon,say,
285,,ask,dudley
286,vernon,say,
287,harry,say,
288,vernon,tell,dudley
289,petunia,look,
290,jones,break,silence
291,dursley,say,
292,dursley,march,
293,hestia,look,
294,harry,meet,attitude
295,harry,assure,
296,voice,rise,
297,people,realize,
298,harry,say,
299,dudley,turn,
300,harry,say,
301,,have,contact
302,dudley,subside,
303,petunia,burst,
304,jones,give,look
305,say,thank,
306,hestia,say,
307,harry,say,
308,diggle,say,
309,hope,rest,
310,right,say,
311,farwell,say,
312,thought,go,
313,harry,say,
314,diggle,say,
315,hestia,follow,
316,dudley,release,
317,dudley,hold,hand
318,harry,say,
319,dunno,see,
320,harry,say,
321,,take,care
322,dudley,smile,
323,harry,hear,footfall
324,petunia,look,
325,harry,say,
326,,give,look
327,harry,run,
328,window,burn,scarlet
329,harry,pick,cage
330,light,fade,
331,,ask,hedwig
332,dudley,sob,
333,dumbledore,walk,
334,harry,lose,thread
335,harry,turn,back
336,harry,look,
337,harry,remember,dream
338,harry,straighten,
339,darkness,seem,
340,figure,begin,
341,people,dismount,
342,harry,hurtle,
343,ron,clap,
344,harry,say,
345,eye,growl,
346,lets,get,
347,harry,lead,
348,kingsley,say,
349,tonks,say,
350,harry,yelp,
351,,roar,moody
352,moody,drop,sack
353,hes,make,
354,all,do,
355,eye,say,
356,thicknesse,go,
357,thicknesse,think,
358,harry,help,
359,were,go,
360,,hold,tongue
361,,call,place
362,,go,way
363,harry,nod,
364,were,choose,
365,doesnt,know,
366,hes,bind,
367,weve,give,protection
368,theyve,get,connection
369,,get,idea
370,harry,say,
371,youll,go,
372,harry,say,
373,moody,say,
374,fourteen,fly,
375,moody,withdraw,flask
376,harry,understand,rest
377,hermione,say,
378,ron,say,
379,fred,say,
380,harry,smile,
381,george,say,
382,fred,say,
383,moody,growl,
384,eye,swerve,sideways
385,times,wear,
386,,want,few
387,,snarl,moody
388,bait,plan,
389,,know,position
390,cant,split,
391,harry,catch,eye
392,harry,glance,
393,harry,reach,
394,good,limp,
395,harry,drop,hair
396,potion,begin,
397,hermione,say,
398,moody,say,
399,ron,line,
400,lupin,say,
401,gruffly,say,
402,mundungus,say,
403,moody,growl,
404,dumbledore,say,know
405,eatersll,want,
406,ron,drink,
407,feature,begin,
408,ron,shrink,
409,moody,loosen,tie
410,fred,turn,
411,fred,say,
412,fleur,say,
413,moody,say,
414,dont,forget,glass
415,harry,think,
416,ron,say,
417,hermione,say,
418,harrys,take,rucksack
419,harrys,face,
420,mundungus,travel,
421,,grunt,harry
422,twin,say,
423,,snarl,moody
424,bill,say,
425,fleur,walk,
426,harry,know,
427,which,leave,
428,tonks,say,
429,ron,look,
430,hagrid,say,
431,youll,be,
432,harry,say,
433,moody,say,
434,theyll,choose,one
435,harry,hurry,
436,hagrid,stand,
437,hagrid,say,
438,,fit,yeh
439,harry,help,
440,ron,smirk,
441,harry,stuff,rucksack
442,hagrid,say,
443,its,get,sleeve
444,,point,finger
445,weasley,say,
446,moody,say,
447,,motion,head
448,tonks,say,
449,hagrid,kick,motorbike
450,moody,shout,
451,broom,soar,
452,hagrid,give,yell
453,harry,lose,sense
454,cage,slip,
455,broomstick,spin,
456,owl,screech,
457,harry,glimpse,scatter
458,owl,lay,motionless
459,eaters,break,
460,curse,shoot,
461,bolt,shoot,
462,wall,erupt,
463,harry,saw,
464,three,swerve,
465,one,slow,
466,harry,respond,
467,red,collide,
468,connection,splinter,
469,hagrid,yell,
470,harry,point,wand
471,sidecar,rise,
472,hagrid,yell,
473,sidecar,begin,
474,harry,pull,rucksack
475,companion,fell,
476,hagrid,moan,
477,shouldn'ta,try,repair
478,yeh've,get,room
479,harry,shout,
480,hagrid,swerve,
481,harry,know,
482,harry,send,spell
483,,shoot,jinx
484,harry,yell,
485,shout,reach,harry
486,pursuer,fall,
487,,bellow,hagrid
488,eater,shout,
489,harry,felt,
490,hagrid,fling,
491,fear,lap,
492,one,have,wand
493,,shout,hagrid
494,harry,felt,
495,curses,miss,harry
496,harry,saw,
497,hagrid,let,bellow
498,harry,send,spells
499,motorbike,spiral,
500,jet,shoot,
501,harry,saw,hagrid
502,harry,hear,scream
503,,glimpse,eater
504,wand,act,
505,voldemort,scream,
506,harry,find,nose
507,harry,call,
508,motorbike,speed,
509,wand,give,wand
510,,felt,voldemort
511,voldemort,prepare,
512,voldemort,vanish,
513,harry,look,
514,hand,sink,
515,,trickle,chin
516,mass,stir,
517,harry,recognize,voice
518,woman,shout,
519,head,swim,
520,scar,throb,
521,,open,eye
522,rucksack,lay,
523,man,watch,harry
524,man,say,
525,,fix,rib
526,harry,sit,
527,lights,pop,
528,tonks,say,
529,harry,say,
530,ted,say,
531,harry,say,
532,tonks,look,
533,,imagine,voldemort
534,,cover,floor
535,,notice,woman
536,ted,say,
537,harry,say,
538,,exchange,look
539,ted,say,
540,harry,say,
541,,seize,rucksack
542,,tell,dora
543,hagrid,come,
544,tonks,point,
545,harry,say,
546,hagrid,say,
547,harry,say,
548,hagrid,reach,hand
549,tonks,say,
550,finger,glue,
551,foot,slam,
552,,hear,scream
553,harry,stand,
554,,cry,weasley
555,harry,pant,
556,,hear,note
557,,thank,goodness
558,,go,brandy
559,,ask,purpose
560,one,point,
561,weasley,reappear,
562,,shout,point
563,harry,know,
564,harry,run,
565,,carry,george
